id,name,product_type,url,price,old_price,discount,in_stock,image_url,rating,reviews_count,utp,sizes,count_sizes,fabrics,count_fabrics,room_1,room_2,room_3,room_4,room_5,room_6
1575103,"Кровать Tilda, цвет Белый премиум mCeramic",Кровать,https://askona.ru/krovati/tilda-beliy-mceramic.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,18800,23500,20,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/tilda-beliy-mceramic/beliy_1.jpg,0,0,,140&times;200|180&times;200|160&times;200,3,,1,Спальня,,,,,
1575104,"Кровать Tilda, цвет Венге Мали mCeramic",Кровать,https://askona.ru/krovati/tilda-venge-mceramic.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,19520,24400,20,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/tilda-venge-mceramic/venge_1.jpg,0,0,,160&times;200|180&times;200|140&times;200,3,,1,Спальня,,,,,
1575106,"Кровать Tilda, цвет Ясень Шимо Светлый+mCeramic",Кровать,https://askona.ru/krovati/tilda-yasen-mceramic.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,19520,24400,20,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/tilda-yasen-mceramic/yasen_1.jpg,0,0,,160&times;200|180&times;200|140&times;200,3,,1,Спальня,,,,,
1575159,"Кровать Tilda, цвет Дуб Бардолино натуральный+mBeige",Кровать,https://askona.ru/krovati/tilda-dub-mbeige.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,19520,24400,20,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/tilda-dub-mbeige/dub-mbeige_1.jpg,0,0,,160&times;200|140&times;200|180&times;200,3,,1,Спальня,,,,,
1576967,"Кровать Ivi plus дуб натуральный",Кровать,https://askona.ru/krovati/ivi-plus.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,97712,162854,40,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/ivi-plus/main.jpg,0,0,,160&times;200|180&times;200,2,,1,Спальня,,,,,
1575003,"Кровать Tilda Soft, цвет Ясень Шимо Светлый",Кровать,https://askona.ru/krovati/tilda-soft-yasen-shimo.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d&amp;SELECTED_FABRIC_ID=1157050,25360,31700,20,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/tilda-soft-yasen-shimo/casanova-chocolate/main.jpg,0,0,,140&times;200|180&times;200|160&times;200,3,"Casanova Chocolate |Casanova Stone|Casanova Milk",3,Спальня,,,,,
1450465,"Кровать металлическая Antica Old gold mat","Кровать металлическая",https://askona.ru/krovati/krovat-metallicheskaya-old-gold-mat.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,18786,30300,38,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-metallicheskaya-old-gold-mat/main.jpg,5,3,"Компактные габариты",180&times;200|160&times;200|140&times;200,4,,1,Спальня,,,,,
1578823,"Кровать Lira, размер 90х200",Кровать,https://askona.ru/krovati/lira-90-200.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1326902,22015,25900,15,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/lira-90-200/main.jpg,5,3,,90&times;200,1,"Aura 06|Casanova Ice|Aura 03|Belgium 7007|Lima azure|Casanova seawave|Sky Velvet 21",48,Спальня,,,,,
1582809,"Кровать из массива сосны Regina Extra, размер 90х200, цвет темный орех","Кровать из массива сосны",https://askona.ru/krovati/regina-extra-dark-walnut-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,33060,34800,5,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/regina-extra-dark-walnut-90/main.jpg,0,0,,90&times;200,1,,1,Спальня,,,,,
1581654,"Кровать из массива сосны Regina Extra, цвет светлый орех","Кровать из массива сосны",https://askona.ru/krovati/regina-extra-light-walnut.htm?SELECTED_HASH_SIZE=160x200-af13bfd624e1acd34f2103481efea402,40945,43100,5,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/regina-extra-light-walnut/regina-light-walnut.jpg,0,0,,160&times;200|180&times;200|140&times;200,4,,1,Спальня,,,,,
1581667,"Кровать из массива сосны Regina Extra, цвет темный орех","Кровать из массива сосны",https://askona.ru/krovati/regina-extra-dark-walnut.htm?SELECTED_HASH_SIZE=140x200-f31354d6a581d0e5fec502eca8f49d2d,36955,38900,5,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/regina-extra-dark-walnut/regina_1.jpg,0,0,,140&times;200|180&times;200|90&times;200,4,,1,Спальня,,,,,
1542421,"Кровать Avril, размер 90х200",Кровать,https://askona.ru/krovati/avril-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1326896,26970,46500,42,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/avril-90/main.jpg,5,1,Скандинавский,90&times;200,1,"Belgium 7009|Casanova Ice|Casanova Grass|Sky Velvet 12|Sky Velvet 18|Brera 493|Lana Marrone",58,Спальня,,,,,
1598019,"Кровать металлическая Antica, черный шагрень, размер 200x090","Кровать металлическая",https://askona.ru/krovati/krovat-metallicheskaya-antica-200-90-black.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,16244,26200,38,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-metallicheskaya-antica-200-90-black/main.jpg,5,3,"Компактные габариты",90&times;200,1,,1,Спальня,,,,,
1598021,"Кровать металлическая Antica, белый шагрень, размер 200x090","Кровать металлическая",https://askona.ru/krovati/krovat-metallicheskaya-antica-200-90-white.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,16244,26200,38,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-metallicheskaya-antica-200-90-white/main.jpg,5,3,"Компактные габариты",90&times;200,1,,1,Спальня,,,,,
1599590,"Кровать металлическая Corsa, цвет белый шагрень","Кровать металлическая",https://askona.ru/krovati/corsa-white.htm?SELECTED_HASH_SIZE=180x200-89a1c27869ae35e1ac37bd8e2916084a,21210,30300,30,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/corsa-white/corsa-white.jpg,5,2,"Компактные габариты",180&times;200|160&times;200|90&times;200,4,,1,Спальня,,,,,
1599595,"Кровать металлическая Corsa, черный шагрень, размер 90х200","Кровать металлическая",https://askona.ru/krovati/corsa-black-90-200.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,18340,26200,30,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/corsa-black-90-200/corsa.jpg,5,2,"Компактные габариты",90&times;200,1,,1,Спальня,,,,,
1599597,"Кровать металлическая Corsa, белый шагрень, размер 90х200","Кровать металлическая",https://askona.ru/krovati/corsa-white-90-200.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165,18340,26200,30,true,https://cdn.askona.ru/upload/catalog_product_images/krovati/corsa-white-90-200/corsa.jpg,5,2,"Компактные габариты",90&times;200,1,,1,Спальня,,,,,
