id,name,product_type,url,price,old_price,discount,in_stock,image_url,s3_pictures,preview_gallery,rating,reviews_count,utp,sizes,count_sizes,fabrics,count_fabrics,room_1,room_2,room_3,room_4,room_5,room_6
1784972,"Кровать Milana New, размер 90х200",Кровать,https://askona.ru/krovati/krovat-milana-new-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1597157,35278,56900,38,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milana-new-90/krovati_7.jpg,0,0,,90&times;200,1,"Casanova Desert|Brera 493|Aura 11|Casanova seawave|Casanova Grey|Piano 14|Sky velvet 43",7,Спальня,,,,,
1785622,"Кровать Minty, размер 90х200 см",Кровать,https://askona.ru/krovati/minty-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1326888,26724,40800,35,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/minty-90/krovati_7.jpg,0,0,,90&times;200,1,"Belgium 7005|Casanova mustard|Dumont 24|Dumont 10|Casanova seawave|Sky Velvet 40|Sky Velvet 30",41,Спальня,,,,,
1785948,"Кровать Ashley, размер 90х200",Кровать,https://askona.ru/krovati/krovat-ashley-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1157047,54020,74000,27,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-ashley-90/krovat-ashleyy-90_7.jpg,0,0,,90&times;200,1,"Casanova Grey|Aura 06|Casanova Grass|Aura 11|Casanova Desert|Casanova lilac",6,Спальня,,,,,
1785958,"Кровать с подъемным механизмом Ashley, размер 90х200","Кровать с подъемным механизмом",https://askona.ru/krovati/ashley-pm-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1326899,77307,105900,27,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/ashley-pm-90/ashley-pmm-90_7.jpg,0,0,,90&times;200,1,"Aura 03|Casanova lilac|Casanova Chocolate |Sky Velvet 12|Casanova Grey|Sky Velvet 21",6,Спальня,,,,,
1614719,"Кровать Relax, размер 90х200 см",Кровать,https://askona.ru/krovati/relax-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=977,27352,52600,48,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90/krovati_7.jpg,5,7,,90&times;200,1,"Sky Velvet 16|Dumont 26|Casanova Grey|Aura 03|Casanova Milk|Sky Velvet 08|Dumont 24",19,Спальня,,,,,
1618456,"Кровать с подъемным механизмом Relax, размер 90х200 см","Кровать с подъемным механизмом",https://askona.ru/krovati/relax-90-pm.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=977,46696,89800,48,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/relax-90-pm/krovati_7.jpg,5,7,,90&times;200,1,"Sky Velvet 16|Dumont 26|Casanova Grey|Aura 03|Dumont 08|Sky Velvet 40|Sky Velvet 21",17,Спальня,,,,,
1368219,"Кровать Vanessa, размер 90х200см",Кровать,https://askona.ru/krovati/krovat-vanessa-1.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=977,25641,46200,45,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/sky-velvet-16/sky-velvet-16_1.jpg,https://ir.askona.ru/upload/catalog/202340.jpg|https://ir.askona.ru/upload/catalog/94850.jpg|https://ir.askona.ru/upload/catalog/94851.jpg|https://ir.askona.ru/upload/catalog/94852.jpg|https://ir.askona.ru/upload/catalog/94853.jpg|https://ir.askona.ru/upload/catalog/94854.jpg|https://ir.askona.ru/upload/catalog/94855.jpg|https://ir.askona.ru/upload/catalog/94856.jpg,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/sky-velvet-16/sky-velvet-16_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-vanessa-1/krovat-vanessa-1_7.jpg,5,4,"Невысокая спинка",90&times;200,1,"Sky Velvet 16|Dumont 26|Dumont 02|Casanova Grey|Aura 03|Sky Velvet 02|Sky Velvet 18",75,Спальня,,,,,
1788373,"Кровать Naomi, размер 90х200см",Кровать,https://askona.ru/krovati/krovat-naomi-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1255829,54487,105800,49,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_1.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-naomi-90/naomi_7.jpg,0,0,,90&times;200,1,"Casanova Milk|Casanova beige|Casanova Grey|Casanova lilac|Casanova Rose|Casanova Stone",6,Спальня,,,,,
1788467,"Кровать c подъемным механизмом Naomi, размер 90х200см","Кровать c подъемным механизмом",https://askona.ru/krovati/krovat-c-pm-naomi-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1501237,68135,132300,48,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_1.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-c-pm-naomi-90/naomi_5.jpg,0,0,,90&times;200,1,"Sky Velvet 12|Casanova Sky|Sky Velvet 03|Casanova lilac|Casanova Rose|Casanova Milk|Casanova Stone",9,Спальня,,,,,
1798296,"Кровать Milora, размер 90х200",Кровать,https://askona.ru/krovati/krovat-milora-90.htm?SELECTED_HASH_SIZE=90x200-64076ea5fa34605eff021e660aae5165&amp;SELECTED_FABRIC_ID=1597159,34732,67441,49,false,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/main.jpg,,https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/main.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_1.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_2.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_3.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_4.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_5.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_6.jpg|https://cdn.askona.ru/upload/catalog_product_images/krovati/krovat-milora-90/milo_7.jpg,0,0,,90&times;200,1,"Casanova Scandy|Dumont 02|Dumont 24|Sky Velvet 18|Piano 14|Casanova Milk|Sky Velvet 03",8,Спальня,,,,,
